n,potentiometre,Pos,Deformation_z_cm,sensorValue
1,255,1,2.42,703
2,255,2,2.32,668
3,255,3,2.22,668
4,255,4,2.12,669
5,255,5,2.02,668
6,255,6,1.92,671
7,255,7,1.81,673
8,255,8,1.71,671
9,255,9,1.60,672
10,255,10,1.50,673
11,255,11,1.39,671
12,255,12,1.29,674
13,255,13,1.18,674
14,255,14,1.08,672
15,255,15,0.97,672
16,255,16,0.86,672
17,255,17,0.76,674
18,255,18,0.65,673
19,255,19,0.54,675
20,255,20,0.43,674
21,255,21,0.32,677
22,255,22,0.22,680
23,255,23,0.11,685
24,255,24,0.00,692
25,255,25,-0.11,703
26,255,26,-0.22,708
27,255,27,-0.32,726
28,255,28,-0.43,726
29,255,29,-0.54,740
30,255,30,-0.65,748
31,255,31,-0.76,752
32,255,32,-0.86,759
33,255,33,-0.97,763
34,255,34,-1.08,762
35,255,35,-1.18,771
36,255,36,-1.29,773
37,255,37,-1.39,782
38,255,38,-1.50,784
39,255,39,-1.60,787
40,255,40,-1.71,789
41,255,41,-1.81,790
42,255,42,-1.92,792
43,255,43,-2.02,791
44,255,44,-2.12,795
45,255,45,-2.22,796
46,255,46,-2.32,795
47,255,47,-2.42,797
48,255,48,-2.52,797
49,255,49,-2.62,796
50,255,50,-2.72,795
51,255,51,-2.81,796
52,255,52,-2.91,668
53,255,53,-3.01,665
54,255,54,-3.10,665
55,255,55,-3.19,668
56,255,54,6.06,668
57,255,53,6.04,668
58,255,52,6.02,667
59,255,51,5.99,665
60,255,50,5.96,666
61,255,49,5.93,666
62,255,48,5.90,669
63,255,47,5.86,666
64,255,46,5.83,667
65,255,45,5.79,667
66,255,44,5.75,667
67,255,43,5.71,668
68,255,42,5.66,668
69,255,41,5.62,666
70,255,40,5.57,668
71,255,39,5.52,670
72,255,38,5.47,668
73,255,37,5.42,670
74,255,36,5.37,667
75,255,35,5.31,669
76,255,34,5.26,667
77,255,33,5.20,670
78,255,32,5.14,669
79,255,31,5.08,669
80,255,30,5.02,671
81,255,29,4.95,668
82,255,28,4.89,668
83,255,27,4.82,670
84,255,26,4.75,670
85,255,25,4.68,669
86,255,24,4.61,661
87,255,23,4.53,653
88,255,22,4.46,645
89,255,21,4.38,641
90,255,20,4.31,631
91,255,19,4.23,612
92,255,18,4.15,605
93,255,17,4.07,600
94,255,16,3.99,588
95,255,15,3.90,577
96,255,14,3.82,574
97,255,13,3.73,578
98,255,12,3.64,571
99,255,11,3.56,567
100,255,10,3.47,566
101,255,9,3.38,566
102,255,8,3.29,569
103,255,7,3.19,567
104,255,6,3.10,565
105,255,5,3.01,561
106,255,4,2.91,562
107,255,3,2.81,560
108,255,2,2.72,563
109,255,1,2.62,561
110,255,0,2.52,561
111,255,1,2.42,572
112,255,2,2.32,560
113,255,3,2.22,564
114,255,4,2.12,568
115,255,5,2.02,562
116,255,6,1.92,566
117,255,7,1.81,570
118,255,8,1.71,570
119,255,9,1.60,574
120,255,10,1.50,576
121,255,11,1.39,578
122,255,12,1.29,578
123,255,13,1.18,582
124,255,14,1.08,583
